manufacturer,Flight_Date,arr_delay,carrier,tailnum,origin
BOEING,12/29/2013,27,UA,N502UA,JFK
"BOMBARDIER INC",12/29/2013,-9,9E,N604LR,JFK
AIRBUS,12/29/2013,-2,US,N542UW,JFK
AIRBUS,12/29/2013,171,B6,N597JB,JFK
EMBRAER,12/29/2013,67,B6,N179JB,JFK
BOEING,12/29/2013,19,DL,N3758Y,JFK
BOEING,12/29/2013,-2,DL,N37700,JFK
BOEING,12/29/2013,-3,DL,N381DN,JFK
BOEING,12/29/2013,76,AA,N362AA,JFK
BOEING,12/29/2013,47,UA,N590UA,JFK
AIRBUS,12/29/2013,-15,B6,N621JB,JFK
BOEING,12/29/2013,4,DL,N154DL,JFK
AIRBUS,12/29/2013,18,VX,N621VA,JFK
BOEING,12/29/2013,34,DL,N3755D,JFK
BOEING,12/29/2013,132,AA,N338AA,JFK
AIRBUS,12/29/2013,0,B6,N613JB,JFK
EMBRAER,12/29/2013,99,B6,N249JB,JFK
EMBRAER,12/29/2013,161,B6,N216JB,JFK
BOEING,12/29/2013,-51,DL,N197DN,JFK
"BOMBARDIER INC",12/29/2013,68,9E,N272PQ,JFK
BOEING,12/29/2013,62,AA,N339AA,JFK
AIRBUS,12/29/2013,56,B6,N591JB,JFK
AIRBUS,12/29/2013,27,B6,N585JB,JFK
BOEING,12/29/2013,44,DL,N383DN,JFK
EMBRAER,12/29/2013,4,B6,N273JB,JFK
"BOMBARDIER INC",12/29/2013,77,9E,N298PQ,JFK
AIRBUS,12/29/2013,76,B6,N536JB,JFK
BOEING,12/29/2013,118,DL,N377DA,JFK
BOEING,12/29/2013,85,DL,N376DA,JFK
EMBRAER,12/29/2013,231,B6,N355JB,JFK
AIRBUS,12/29/2013,-2,B6,N590JB,JFK
BOEING,12/29/2013,80,UA,N546UA,JFK
"AIRBUS INDUSTRIE",12/29/2013,38,DL,N314US,JFK
"AIRBUS INDUSTRIE",12/29/2013,20,B6,N517JB,JFK
AIRBUS,12/29/2013,23,B6,N565JB,JFK
EMBRAER,12/29/2013,144,B6,N279JB,JFK
AIRBUS,12/29/2013,87,B6,N587JB,JFK
BOEING,12/29/2013,78,DL,N3765,JFK
"AIRBUS INDUSTRIE",12/29/2013,29,B6,N523JB,JFK
BOEING,12/29/2013,37,AA,N327AA,JFK
EMBRAER,12/29/2013,69,B6,N353JB,JFK
EMBRAER,12/29/2013,59,B6,N179JB,JFK
"BOMBARDIER INC",12/29/2013,182,9E,N297PQ,JFK
"AIRBUS INDUSTRIE",12/29/2013,145,B6,N506JB,JFK
AIRBUS,12/29/2013,43,B6,N618JB,JFK
EMBRAER,12/29/2013,33,B6,N292JB,JFK
EMBRAER,12/29/2013,37,B6,N281JB,JFK
EMBRAER,12/29/2013,85,B6,N238JB,JFK
EMBRAER,12/29/2013,25,B6,N229JB,JFK
EMBRAER,12/29/2013,115,B6,N193JB,JFK
EMBRAER,12/29/2013,47,B6,N324JB,JFK
EMBRAER,12/29/2013,NULL,B6,N283JB,JFK
AIRBUS,12/29/2013,NULL,B6,N588JB,JFK
EMBRAER,12/29/2013,NULL,B6,N231JB,JFK
AIRBUS,12/29/2013,NULL,B6,N595JB,JFK
EMBRAER,12/29/2013,NULL,B6,N231JB,JFK
"CIRRUS DESIGN CORP",12/30/2013,4,B6,N508JB,JFK
AIRBUS,12/30/2013,112,B6,N621JB,JFK
AIRBUS,12/30/2013,3,B6,N563JB,JFK
BOEING,12/30/2013,34,UA,N510UA,JFK
"AIRBUS INDUSTRIE",12/30/2013,15,B6,N534JB,JFK
"AIRBUS INDUSTRIE",12/30/2013,1,US,N180US,JFK
AIRBUS,12/30/2013,0,B6,N547JB,JFK
BOEING,12/30/2013,-9,UA,N598UA,JFK
"AIRBUS INDUSTRIE",12/30/2013,-16,US,N169UW,JFK
EMBRAER,12/30/2013,17,B6,N216JB,JFK
BOEING,12/30/2013,-19,DL,N3738B,JFK
EMBRAER,12/30/2013,-8,B6,N231JB,JFK
BOEING,12/30/2013,0,UA,N518UA,JFK
AIRBUS,12/30/2013,42,B6,N597JB,JFK
"AIRBUS INDUSTRIE",12/30/2013,21,B6,N519JB,JFK
BOEING,12/30/2013,-10,AA,N335AA,JFK
EMBRAER,12/30/2013,3,B6,N236JB,JFK
"BOMBARDIER INC",12/30/2013,-7,9E,N601LR,JFK
AIRBUS,12/30/2013,34,B6,N591JB,JFK
EMBRAER,12/30/2013,15,B6,N179JB,JFK
EMBRAER,12/30/2013,10,B6,N324JB,JFK
BOEING,12/30/2013,23,DL,N391DA,JFK
BOEING,12/30/2013,-11,UA,N587UA,JFK
BOEING,12/30/2013,-24,AA,N354AA,JFK
BOEING,12/30/2013,6,DL,N3762Y,JFK
BOEING,12/30/2013,-12,DL,N3753,JFK
EMBRAER,12/30/2013,5,B6,N292JB,JFK
BOEING,12/30/2013,2,DL,N303DQ,JFK
AIRBUS,12/30/2013,35,B6,N612JB,JFK
BOEING,12/30/2013,51,AA,N328AA,JFK
BOEING,12/30/2013,20,DL,N3746H,JFK
EMBRAER,12/30/2013,30,B6,N355JB,JFK
BOEING,12/30/2013,-18,UA,N512UA,JFK
EMBRAER,12/30/2013,-2,B6,N281JB,JFK
AIRBUS,12/30/2013,18,US,N555AY,JFK
"AIRBUS INDUSTRIE",12/30/2013,5,B6,N504JB,JFK
AIRBUS,12/30/2013,-4,B6,N589JB,JFK
BOEING,12/30/2013,-20,AA,N332AA,JFK
BOEING,12/30/2013,5,DL,N3747D,JFK
EMBRAER,12/30/2013,4,B6,N267JB,JFK
EMBRAER,12/30/2013,9,B6,N374JB,JFK
EMBRAER,12/30/2013,9,B6,N249JB,JFK
"AIRBUS INDUSTRIE",12/30/2013,42,B6,N521JB,JFK
BOEING,12/30/2013,14,DL,N188DN,JFK
AIRBUS,12/30/2013,1,HA,N393HA,JFK
EMBRAER,12/30/2013,-6,B6,N279JB,JFK
AIRBUS,12/30/2013,55,B6,N568JB,JFK
AIRBUS,12/30/2013,56,B6,N552JB,JFK
AIRBUS,12/30/2013,-1,US,N559UW,JFK
BOEING,12/30/2013,-15,UA,N505UA,JFK
BOEING,12/30/2013,20,DL,N375DA,JFK
BOEING,12/30/2013,-11,AA,N357AA,JFK
EMBRAER,12/30/2013,0,B6,N273JB,JFK
AIRBUS,12/30/2013,-9,US,N534UW,JFK
AIRBUS,12/30/2013,19,B6,N608JB,JFK
EMBRAER,12/30/2013,7,B6,N294JB,JFK
BOEING,12/30/2013,-6,DL,N3765,JFK
BOEING,12/30/2013,-10,UA,N597UA,JFK
BOEING,12/30/2013,-12,AA,N338AA,JFK
"BOMBARDIER INC",12/30/2013,-11,9E,N293PQ,JFK
AIRBUS,12/30/2013,-2,US,N554UW,JFK
BOEING,12/30/2013,-16,UA,N595UA,JFK
EMBRAER,12/30/2013,4,B6,N179JB,JFK
EMBRAER,12/30/2013,-4,B6,N249JB,JFK
EMBRAER,12/30/2013,-11,B6,N298JB,JFK
"AIRBUS INDUSTRIE",12/30/2013,-10,DL,N340NW,JFK
BOEING,12/30/2013,6,DL,N3743H,JFK
EMBRAER,12/30/2013,15,B6,N324JB,JFK
EMBRAER,12/30/2013,-8,B6,N236JB,JFK
BOEING,12/30/2013,-21,AA,N323AA,JFK
AIRBUS,12/30/2013,-21,B6,N547JB,JFK
EMBRAER,12/30/2013,-24,B6,N190JB,JFK
EMBRAER,12/30/2013,5,B6,N279JB,JFK
EMBRAER,12/30/2013,29,B6,N294JB,JFK
BOEING,12/30/2013,-20,UA,N502UA,JFK
AIRBUS,12/30/2013,58,B6,N563JB,JFK
EMBRAER,12/30/2013,29,B6,N216JB,JFK
EMBRAER,12/30/2013,55,B6,N238JB,JFK
BOEING,12/30/2013,6,DL,N3762Y,JFK
AIRBUS,12/30/2013,102,B6,N568JB,JFK
BOEING,12/30/2013,13,DL,N392DA,JFK
EMBRAER,12/30/2013,89,B6,N274JB,JFK
BOEING,12/30/2013,-23,UA,N546UA,JFK
BOEING,12/30/2013,14,DL,N181DN,JFK
BOEING,12/30/2013,-8,AA,N369AA,JFK
EMBRAER,12/30/2013,23,B6,N179JB,JFK
BOEING,12/30/2013,-10,DL,N389DA,JFK
"BOMBARDIER INC",12/30/2013,-5,9E,N293PQ,JFK
EMBRAER,12/30/2013,153,B6,N267JB,JFK
"BOMBARDIER INC",12/30/2013,-27,9E,N297PQ,JFK
BOEING,12/30/2013,-2,AA,N328AA,JFK
"AIRBUS INDUSTRIE",12/30/2013,59,B6,N534JB,JFK
"AIRBUS INDUSTRIE",12/30/2013,-6,DL,N372NW,JFK
BOEING,12/30/2013,6,DL,N383DN,JFK
BOEING,12/30/2013,-12,DL,N391DA,JFK
AIRBUS,12/30/2013,-6,US,N553UW,JFK
BOEING,12/30/2013,-7,AA,N327AA,JFK
EMBRAER,12/30/2013,-10,B6,N298JB,JFK
AIRBUS,12/30/2013,51,B6,N552JB,JFK
EMBRAER,12/30/2013,-8,B6,N329JB,JFK
EMBRAER,12/30/2013,-1,B6,N281JB,JFK
BOEING,12/30/2013,-9,UA,N590UA,JFK
AIRBUS,12/30/2013,8,B6,N594JB,JFK
AIRBUS,12/30/2013,8,B6,N599JB,JFK
EMBRAER,12/30/2013,3,B6,N355JB,JFK
EMBRAER,12/30/2013,-14,B6,N236JB,JFK
AIRBUS,12/30/2013,88,B6,N598JB,JFK
BOEING,12/30/2013,-23,DL,N376DA,JFK
"AIRBUS INDUSTRIE",12/30/2013,-7,B6,N505JB,JFK
AIRBUS,12/30/2013,6,B6,N593JB,JFK
BOEING,12/30/2013,2,AA,N339AA,JFK
BOEING,12/30/2013,-42,DL,N155DL,JFK
BOEING,12/30/2013,0,DL,N387DA,JFK
AIRBUS,12/30/2013,12,US,N550UW,JFK
BOEING,12/30/2013,2,UA,N588UA,JFK
BOEING,12/30/2013,-43,DL,N3747D,JFK
EMBRAER,12/30/2013,-5,B6,N216JB,JFK
"BOMBARDIER INC",12/30/2013,147,9E,N292PQ,JFK
AIRBUS,12/30/2013,24,B6,N561JB,JFK
AIRBUS,12/30/2013,3,B6,N562JB,JFK
"BOMBARDIER INC",12/30/2013,-11,9E,N298PQ,JFK
AIRBUS,12/30/2013,2,B6,N585JB,JFK
BOEING,12/30/2013,0,DL,N374DA,JFK
BOEING,12/30/2013,1,AA,N336AA,JFK
BOEING,12/30/2013,4,DL,N3755D,JFK
EMBRAER,12/30/2013,128,B6,N279JB,JFK
AIRBUS,12/30/2013,-6,B6,N586JB,JFK
AIRBUS,12/30/2013,23,B6,N558JB,JFK
AIRBUS,12/30/2013,18,B6,N571JB,JFK
BOEING,12/30/2013,-28,DL,N3753,JFK
BOEING,12/30/2013,-20,DL,N385DN,JFK
EMBRAER,12/30/2013,-14,B6,N324JB,JFK
BOEING,12/30/2013,-36,DL,N193DN,JFK
AIRBUS,12/30/2013,29,B6,N579JB,JFK
AIRBUS,12/30/2013,3,B6,N592JB,JFK
"BOMBARDIER INC",12/30/2013,-16,9E,N295PQ,JFK
BOEING,12/30/2013,4,DL,N3743H,JFK
BOEING,12/30/2013,107,UA,N510UA,JFK
"AIRBUS INDUSTRIE",12/30/2013,-4,B6,N516JB,JFK
"AIRBUS INDUSTRIE",12/30/2013,13,B6,N523JB,JFK
"AIRBUS INDUSTRIE",12/30/2013,-29,DL,N340NW,JFK
EMBRAER,12/30/2013,12,B6,N329JB,JFK
BOEING,12/30/2013,89,DL,N372DA,JFK
EMBRAER,12/30/2013,4,B6,N267JB,JFK
BOEING,12/30/2013,36,UA,N598UA,JFK
"AIRBUS INDUSTRIE",12/30/2013,6,B6,N529JB,JFK
EMBRAER,12/30/2013,-11,B6,N236JB,JFK
EMBRAER,12/30/2013,17,B6,N374JB,JFK
BOEING,12/30/2013,20,AA,N335AA,JFK
AIRBUS,12/30/2013,8,B6,N590JB,JFK
EMBRAER,12/30/2013,8,B6,N193JB,JFK
AIRBUS,12/30/2013,283,B6,N595JB,JFK
EMBRAER,12/30/2013,-12,B6,N292JB,JFK
EMBRAER,12/30/2013,2,B6,N355JB,JFK
EMBRAER,12/30/2013,-7,B6,N179JB,JFK
EMBRAER,12/30/2013,4,B6,N281JB,JFK
EMBRAER,12/30/2013,8,B6,N274JB,JFK
AIRBUS,12/30/2013,109,B6,N564JB,JFK
BOEING,12/30/2013,-16,DL,N3746H,JFK
EMBRAER,12/30/2013,135,B6,N279JB,JFK
AIRBUS,12/31/2013,2,B6,N566JB,JFK
EMBRAER,12/31/2013,96,B6,N374JB,JFK
AIRBUS,12/31/2013,-3,B6,N552JB,JFK
AIRBUS,12/31/2013,-10,B6,N547JB,JFK
BOEING,12/31/2013,-2,DL,N392DA,JFK
BOEING,12/31/2013,-21,DL,N3766,JFK
AIRBUS,12/31/2013,7,B6,N612JB,JFK
AIRBUS,12/31/2013,18,B6,N594JB,JFK
"AIRBUS INDUSTRIE",12/31/2013,7,US,N178US,JFK
BOEING,12/31/2013,-3,UA,N589UA,JFK
"AIRBUS INDUSTRIE",12/31/2013,30,US,N184US,JFK
EMBRAER,12/31/2013,21,B6,N294JB,JFK
BOEING,12/31/2013,-18,DL,N3758Y,JFK
"AIRBUS INDUSTRIE",12/31/2013,12,B6,N505JB,JFK
AIRBUS,12/31/2013,15,B6,N599JB,JFK
AIRBUS,12/31/2013,-15,B6,N593JB,JFK
EMBRAER,12/31/2013,30,B6,N304JB,JFK
BOEING,12/31/2013,7,AA,N327AA,JFK
EMBRAER,12/31/2013,-5,B6,N216JB,JFK
"AIRBUS INDUSTRIE",12/31/2013,11,B6,N509JB,JFK
BOEING,12/31/2013,0,DL,N3734B,JFK
EMBRAER,12/31/2013,-15,B6,N355JB,JFK
BOEING,12/31/2013,10,AA,N357AA,JFK
BOEING,12/31/2013,-15,UA,N587UA,JFK
EMBRAER,12/31/2013,23,B6,N179JB,JFK
BOEING,12/31/2013,140,UA,N505UA,JFK
BOEING,12/31/2013,20,DL,N376DA,JFK
"BOMBARDIER INC",12/31/2013,11,9E,N293PQ,JFK
AIRBUS,12/31/2013,7,B6,N585JB,JFK
EMBRAER,12/31/2013,27,B6,N292JB,JFK
"BOMBARDIER INC",12/31/2013,-17,9E,N295PQ,JFK
EMBRAER,12/31/2013,-3,B6,N281JB,JFK
EMBRAER,12/31/2013,43,B6,N190JB,JFK
"BOMBARDIER INC",12/31/2013,-20,9E,N297PQ,JFK
AIRBUS,12/31/2013,23,B6,N566JB,JFK
"AIRBUS INDUSTRIE",12/31/2013,24,B6,N529JB,JFK
BOEING,12/31/2013,-14,DL,N188DN,JFK
EMBRAER,12/31/2013,-15,B6,N236JB,JFK
BOEING,12/31/2013,-4,AA,N338AA,JFK
EMBRAER,12/31/2013,4,B6,N238JB,JFK
BOEING,12/31/2013,-6,DL,N3755D,JFK
"BOMBARDIER INC",12/31/2013,-34,9E,N299PQ,JFK
AIRBUS,12/31/2013,2,HA,N395HA,JFK
EMBRAER,12/31/2013,-17,B6,N307JB,JFK
AIRBUS,12/31/2013,7,B6,N588JB,JFK
AIRBUS,12/31/2013,7,B6,N569JB,JFK
AIRBUS,12/31/2013,12,B6,N587JB,JFK
EMBRAER,12/31/2013,-28,B6,N329JB,JFK
AIRBUS,12/31/2013,-5,US,N540UW,JFK
EMBRAER,12/31/2013,61,B6,N318JB,JFK
BOEING,12/31/2013,-1,UA,N597UA,JFK
BOEING,12/31/2013,-2,DL,N389DA,JFK
EMBRAER,12/31/2013,-4,B6,N334JB,JFK
AIRBUS,12/31/2013,9,US,N571UW,JFK
AIRBUS,12/31/2013,45,B6,N580JB,JFK
BOEING,12/31/2013,23,DL,N3743H,JFK
BOEING,12/31/2013,2,UA,N595UA,JFK
BOEING,12/31/2013,9,AA,N336AA,JFK
EMBRAER,12/31/2013,-11,B6,N216JB,JFK
"AIRBUS INDUSTRIE",12/31/2013,13,US,N189UW,JFK
BOEING,12/31/2013,1,DL,N156DL,JFK
EMBRAER,12/31/2013,-24,B6,N236JB,JFK
BOEING,12/31/2013,5,DL,N391DA,JFK
EMBRAER,12/31/2013,19,B6,N307JB,JFK
EMBRAER,12/31/2013,0,B6,N190JB,JFK
AIRBUS,12/31/2013,0,B6,N588JB,JFK
BOEING,12/31/2013,-7,AA,N339AA,JFK
EMBRAER,12/31/2013,39,B6,N318JB,JFK
EMBRAER,12/31/2013,1,B6,N281JB,JFK
AIRBUS,12/31/2013,2,B6,N612JB,JFK
EMBRAER,12/31/2013,6,B6,N206JB,JFK
EMBRAER,12/31/2013,6,B6,N294JB,JFK
EMBRAER,12/31/2013,29,B6,N334JB,JFK
EMBRAER,12/31/2013,13,B6,N279JB,JFK
BOEING,12/31/2013,7,UA,N518UA,JFK
AIRBUS,12/31/2013,7,B6,N552JB,JFK
BOEING,12/31/2013,-10,DL,N3766,JFK
BOEING,12/31/2013,-15,UA,N590UA,JFK
AIRBUS,12/31/2013,-8,B6,N547JB,JFK
BOEING,12/31/2013,15,DL,N199DN,JFK
BELL,12/31/2013,3,AA,N393AA,JFK
"BOMBARDIER INC",12/31/2013,-11,9E,N295PQ,JFK
BOEING,12/31/2013,15,AA,N327AA,JFK
EMBRAER,12/31/2013,116,B6,N216JB,JFK
AIRBUS,12/31/2013,-4,B6,N585JB,JFK
"AIRBUS INDUSTRIE",12/31/2013,10,B6,N509JB,JFK
"BOMBARDIER INC",12/31/2013,5,9E,N601LR,JFK
BOEING,12/31/2013,1,DL,N376DA,JFK
AIRBUS,12/31/2013,-3,US,N520UW,JFK
BOEING,12/31/2013,-3,AA,N335AA,JFK
AIRBUS,12/31/2013,25,B6,N607JB,JFK
EMBRAER,12/31/2013,70,B6,N337JB,JFK
BOEING,12/31/2013,-5,UA,N502UA,JFK
EMBRAER,12/31/2013,12,B6,N190JB,JFK
EMBRAER,12/31/2013,231,B6,N292JB,JFK
EMBRAER,12/31/2013,27,B6,N238JB,JFK
EMBRAER,12/31/2013,34,B6,N318JB,JFK
"AIRBUS INDUSTRIE",12/31/2013,15,B6,N524JB,JFK
BOEING,12/31/2013,-5,AA,N359AA,JFK
BOEING,12/31/2013,9,AA,N319AA,JFK
BOEING,12/31/2013,4,UA,N588UA,JFK
AIRBUS,12/31/2013,-8,B6,N615JB,JFK
BOEING,12/31/2013,3,DL,N180DN,JFK
AIRBUS,12/31/2013,1,US,N545UW,JFK
BOEING,12/31/2013,11,DL,N3762Y,JFK
"BOMBARDIER INC",12/31/2013,-9,9E,N299PQ,JFK
BOEING,12/31/2013,-5,AA,N323AA,JFK
BOEING,12/31/2013,10,DL,N374DA,JFK
EMBRAER,12/31/2013,87,B6,N279JB,JFK
AIRBUS,12/31/2013,44,B6,N591JB,JFK
BOEING,12/31/2013,2,DL,N385DN,JFK
AIRBUS,12/31/2013,18,B6,N558JB,JFK
BOEING,12/31/2013,-12,DL,N3754A,JFK
AIRBUS,12/31/2013,0,B6,N592JB,JFK
EMBRAER,12/31/2013,136,B6,N374JB,JFK
BOEING,12/31/2013,-2,DL,N372DA,JFK
BOEING,12/31/2013,4,DL,N3739P,JFK
AIRBUS,12/31/2013,12,B6,N562JB,JFK
"AIRBUS INDUSTRIE",12/31/2013,10,B6,N503JB,JFK
BOEING,12/31/2013,-10,DL,N196DN,JFK
AIRBUS,12/31/2013,9,B6,N571JB,JFK
"CIRRUS DESIGN CORP",12/31/2013,14,B6,N508JB,JFK
EMBRAER,12/31/2013,-4,B6,N294JB,JFK
BOEING,12/31/2013,18,DL,N391DA,JFK
EMBRAER,12/31/2013,195,B6,N292JB,JFK
EMBRAER,12/31/2013,40,B6,N190JB,JFK
AIRBUS,12/31/2013,20,B6,N584JB,JFK
EMBRAER,12/31/2013,3,B6,N307JB,JFK
BOEING,12/31/2013,6,AA,N332AA,JFK
AIRBUS,12/31/2013,2,B6,N554JB,JFK
EMBRAER,12/31/2013,-9,B6,N281JB,JFK
AIRBUS,12/31/2013,9,B6,N593JB,JFK
EMBRAER,12/31/2013,65,B6,N184JB,JFK
EMBRAER,12/31/2013,-4,B6,N355JB,JFK
EMBRAER,12/31/2013,3,B6,N318JB,JFK
EMBRAER,12/31/2013,11,B6,N279JB,JFK
EMBRAER,12/31/2013,38,B6,N179JB,JFK
EMBRAER,12/31/2013,55,B6,N334JB,JFK
"AIRBUS INDUSTRIE",12/31/2013,-10,B6,N509JB,JFK
"AIRBUS INDUSTRIE",12/31/2013,NULL,B6,N516JB,JFK
AIRBUS,2/1/2013,-10,B6,N554JB,JFK
BEECH,2/1/2013,9,AA,N615AA,JFK
BOEING,2/1/2013,2,UA,N17122,JFK
"AIRBUS INDUSTRIE",2/1/2013,-3,B6,N523JB,JFK
"ROBINSON HELICOPTER CO",2/1/2013,4,B6,N537JB,JFK
BOEING,2/1/2013,-2,UA,N508UA,JFK
"BOMBARDIER INC",2/1/2013,10,9E,N176PQ,JFK
AIRBUS,2/1/2013,-1,B6,N583JB,JFK
AIRBUS,2/1/2013,-7,B6,N586JB,JFK
EMBRAER,2/1/2013,23,B6,N266JB,JFK
"AIRBUS INDUSTRIE",2/1/2013,-19,B6,N516JB,JFK
AIRBUS,2/1/2013,14,B6,N591JB,JFK
BOEING,2/1/2013,0,UA,N557UA,JFK
"CIRRUS DESIGN CORP",2/1/2013,6,B6,N508JB,JFK
EMBRAER,2/1/2013,5,B6,N216JB,JFK
AIRBUS,2/1/2013,13,B6,N556JB,JFK
AIRBUS,2/1/2013,-15,B6,N568JB,JFK
"AIRBUS INDUSTRIE",2/1/2013,-21,DL,N347NW,JFK
BOEING,2/1/2013,0,AA,N353AA,JFK
BOEING,2/1/2013,34,AA,N320AA,JFK
EMBRAER,2/1/2013,-7,B6,N178JB,JFK
AIRBUS,2/1/2013,1,DL,N369NB,JFK
BOEING,2/1/2013,-20,DL,N3747D,JFK
BOEING,2/1/2013,-5,DL,N308DE,JFK
"AIRBUS INDUSTRIE",2/1/2013,-1,B6,N504JB,JFK
EMBRAER,2/1/2013,10,B6,N281JB,JFK
BOEING,2/1/2013,12,UA,N19141,JFK
EMBRAER,2/1/2013,43,B6,N239JB,JFK
EMBRAER,2/1/2013,-1,B6,N258JB,JFK
AIRBUS,2/1/2013,-58,HA,N388HA,JFK
EMBRAER,2/1/2013,-4,B6,N353JB,JFK
BOEING,2/1/2013,31,AA,N327AA,JFK
EMBRAER,2/1/2013,11,B6,N238JB,JFK
"AIRBUS INDUSTRIE",2/1/2013,18,B6,N524JB,JFK
EMBRAER,2/1/2013,-9,B6,N339JB,JFK
"AIRBUS INDUSTRIE",2/1/2013,-17,B6,N505JB,JFK
BOEING,2/1/2013,1,DL,N3738B,JFK
BOEING,2/1/2013,-27,DL,N3732J,JFK
BOEING,2/1/2013,-10,AA,N324AA,JFK
BOEING,2/1/2013,-13,DL,N3761R,JFK
BOEING,2/1/2013,-19,UA,N517UA,JFK
"AIRBUS INDUSTRIE",2/1/2013,34,B6,N510JB,JFK
EMBRAER,2/1/2013,-11,B6,N334JB,JFK
BOEING,2/1/2013,-24,DL,N3746H,JFK
EMBRAER,2/1/2013,4,B6,N267JB,JFK
BOEING,2/1/2013,1,AA,N329AA,JFK
EMBRAER,2/1/2013,-9,B6,N228JB,JFK
EMBRAER,2/1/2013,-16,B6,N178JB,JFK
BOEING,2/1/2013,-40,DL,N393DA,JFK
EMBRAER,2/1/2013,-19,B6,N283JB,JFK
EMBRAER,2/1/2013,19,B6,N353JB,JFK
BOEING,2/1/2013,-22,DL,N3755D,JFK
BOEING,2/1/2013,-18,AA,N339AA,JFK
EMBRAER,2/1/2013,-5,B6,N339JB,JFK
"ROBINSON HELICOPTER CO",2/1/2013,9,B6,N537JB,JFK
EMBRAER,2/1/2013,54,B6,N239JB,JFK
EMBRAER,2/1/2013,-10,B6,N203JB,JFK
EMBRAER,2/1/2013,48,B6,N281JB,JFK
AIRBUS,2/1/2013,-7,B6,N554JB,JFK
EMBRAER,2/1/2013,-22,B6,N334JB,JFK
"AIRBUS INDUSTRIE",2/1/2013,8,B6,N523JB,JFK
AIRBUS,2/1/2013,-13,B6,N556JB,JFK
DOUGLAS,2/1/2013,5,AA,N381AA,JFK
EMBRAER,2/1/2013,33,B6,N292JB,JFK
BOEING,2/1/2013,-9,UA,N34131,JFK
BOEING,2/1/2013,0,AA,N338AA,JFK
BOEING,2/1/2013,-26,DL,N399DA,JFK
BOEING,2/1/2013,-25,DL,N3754A,JFK
AIRBUS,2/1/2013,-6,B6,N586JB,JFK
BOEING,2/1/2013,2,DL,N3765,JFK
EMBRAER,2/1/2013,-9,B6,N238JB,JFK
BOEING,2/1/2013,-10,DL,N374DA,JFK
BOEING,2/1/2013,-34,DL,N3748Y,JFK
BOEING,2/1/2013,108,UA,N510UA,JFK
"BOMBARDIER INC",2/1/2013,-10,9E,N601XJ,JFK
EMBRAER,2/1/2013,15,B6,N228JB,JFK
AIRBUS,2/1/2013,7,US,N545UW,JFK
EMBRAER,2/1/2013,-7,B6,N198JB,JFK
EMBRAER,2/1/2013,-8,B6,N178JB,JFK
AIRBUS,2/1/2013,-4,VX,N621VA,JFK
BOEING,2/1/2013,-2,AA,N319AA,JFK
AIRBUS,2/1/2013,7,DL,N358NB,JFK
AIRBUS,2/1/2013,-15,B6,N598JB,JFK
BOEING,2/1/2013,-13,DL,N3773D,JFK
BOEING,2/1/2013,-15,DL,N3751B,JFK
BOEING,2/1/2013,-7,UA,N502UA,JFK
"CIRRUS DESIGN CORP",2/1/2013,47,B6,N508JB,JFK
AIRBUS,2/1/2013,-7,B6,N606JB,JFK
EMBRAER,2/1/2013,24,B6,N239JB,JFK
AIRBUS,2/1/2013,11,B6,N579JB,JFK
EMBRAER,2/1/2013,-4,B6,N346JB,JFK
BOEING,2/1/2013,-6,AA,N332AA,JFK
BOEING,2/1/2013,-32,DL,N3769L,JFK
EMBRAER,2/1/2013,-4,B6,N216JB,JFK
BOEING,2/1/2013,12,UA,N505UA,JFK
EMBRAER,2/1/2013,-4,B6,N339JB,JFK
AIRBUS,2/1/2013,-11,US,N548UW,JFK
"AIRBUS INDUSTRIE",2/1/2013,-5,B6,N521JB,JFK
AIRBUS,2/1/2013,-12,B6,N565JB,JFK
BOEING,2/1/2013,-12,UA,N512UA,JFK
BOEING,2/1/2013,-38,DL,N3745B,JFK
"AIRBUS INDUSTRIE",2/1/2013,-46,DL,N326NB,JFK
"AIRBUS INDUSTRIE",2/1/2013,-22,DL,N322US,JFK
EMBRAER,2/1/2013,-15,B6,N258JB,JFK
BOEING,2/1/2013,-21,DL,N3733Z,JFK
"BOMBARDIER INC",2/1/2013,14,9E,N601LR,JFK
BOEING,2/1/2013,-3,DL,N175DN,JFK
AIRBUS,2/1/2013,-2,B6,N595JB,JFK
BOEING,2/1/2013,-24,DL,N3750D,JFK
BOEING,2/1/2013,-24,DL,N3764D,JFK
BOEING,2/1/2013,0,DL,N3752,JFK
"AIRBUS INDUSTRIE",2/1/2013,36,DL,N332NW,JFK
"AIRBUS INDUSTRIE",2/1/2013,-40,DL,N324NB,JFK
"AIRBUS INDUSTRIE",2/1/2013,-16,B6,N516JB,JFK
BOEING,2/1/2013,7,UA,N508UA,JFK
AIRBUS,2/1/2013,119,B6,N552JB,JFK
"AIRBUS INDUSTRIE",2/1/2013,86,B6,N510JB,JFK
"AIRBUS INDUSTRIE",2/1/2013,269,DL,N370NW,JFK
AIRBUS,2/1/2013,-14,B6,N559JB,JFK
AIRBUS,2/1/2013,-4,B6,N599JB,JFK
"BOMBARDIER INC",2/1/2013,12,9E,N601XJ,JFK
AIRBUS,2/1/2013,38,B6,N556JB,JFK
EMBRAER,2/1/2013,16,B6,N353JB,JFK
AIRBUS,2/1/2013,-5,B6,N547JB,JFK
BOEING,2/1/2013,97,AA,N336AA,JFK
EMBRAER,2/1/2013,27,B6,N267JB,JFK
AIRBUS,2/1/2013,-16,B6,N606JB,JFK
